,tweet_id,timestamp,text,rating_numerator,rating_denominator,name,stage,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,retweet_count,favorite_count
7,890240255349198849,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,Doggo,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,7711,32467
11,889531135344209921,2017-07-24 17:02:04,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13,10,Stuart,Puppo,Golden Retriever,0.953442,True,Labrador Retriever,0.0138341,True,Redbone,0.00795775,True,2321,15359
23,886366144734445568,2017-07-15 23:25:31,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,12,10,Roscoe,Pupper,French Bulldog,0.999201,True,Chihuahua,0.000361178,True,Boston Bull,7.55616e-05,True,3316,21524
31,884162670584377345,2017-07-09 21:29:42,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,12,10,Yogi,Doggo,German Shepherd,0.707046,True,Malinois,0.199396,True,Norwegian Elkhound,0.0491476,True,3128,20771
34,883360690899218434,2017-07-07 16:22:55,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck https://t.co/rf661IFEYP,13,10,Grizzwald,Floofer,Chow,0.987997,True,Tibetan Mastiff,0.00709872,True,Newfoundland,0.00214033,True,3825,22986
36,882762694511734784,2017-07-06 00:46:41,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/D43I96SlVu,12,10,Gus,Pupper,Labrador Retriever,0.85005,True,Chesapeake Bay Retriever,0.074257,True,Flat-Coated Retriever,0.015579399999999997,True,5134,28903
42,881536004380872706,2017-07-02 15:32:16,"Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. 14/10 paw-inspiring af 
(IG: puffie_the_chow) https://t.co/ghXBIIeQZF",14,10,A,Pupper,Samoyed,0.281463,True,Angora,0.272066,False,Persian Cat,0.114854,False,16570,50199
53,878776093423087618,2017-06-25 00:45:22,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back #PrideMonth https://t.co/lNZwgNO4gS,13,10,Snoopy,Puppo,Italian Greyhound,0.734684,True,Whippet,0.15048699999999998,True,Ibizan Hound,0.0397246,True,4319,19763
60,876838120628539392,2017-06-19 16:24:33,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug passionately https://t.co/j211oCDRs6,12,10,Ginger,Pupper,Bloodhound,0.575751,True,Redbone,0.24097,True,Tibetan Mastiff,0.08893480000000001,True,3506,21125
66,874296783580663808,2017-06-12 16:06:11,This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract https://t.co/0YplNnSMEm,13,10,Jed,Pupper,Cocker Spaniel,0.437216,True,Miniature Poodle,0.277191,True,Toy Poodle,0.157402,True,4308,26651
67,874012996292530176,2017-06-11 21:18:31,"This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy. 13/10 #PrideMonth puppo https://t.co/XBE0evJZ6V",13,10,Sebastian,Puppo,Cardigan,0.806674,True,Pembroke,0.116622,True,Kelpie,0.0491819,True,11007,35501
69,873213775632977920,2017-06-09 16:22:42,"This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below

https://t.co/Xp01EU3qyD https://t.co/V5lkvrGLdQ",12,10,Sierra,Pupper,Vizsla,0.6197819999999999,True,Bloodhound,0.338069,True,Chesapeake Bay Retriever,0.0126763,True,1667,7467
74,871762521631449091,2017-06-05 16:15:56,This is Rover. As part of pupper protocol he had to at least attempt to eat the plant. Confirmed not tasty. Needs peanut butter. 12/10 https://t.co/AiVljI6QCg,12,10,Rover,Pupper,Labrador Retriever,0.921393,True,Golden Retriever,0.064608,True,Bloodhound,0.00338337,True,3678,20787
75,871515927908634625,2017-06-04 23:56:03,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo https://t.co/PR7B7w1rUw,12,10,Napolean,Doggo,Komondor,0.974781,True,Briard,0.0200413,True,Swab,0.00322824,False,3628,20730
83,869596645499047938,2017-05-30 16:49:31,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for https://t.co/DsA2hwXAJo,12,10,Scout,Doggo,Chihuahua,0.955156,True,Toy Terrier,0.00805373,True,Muzzle,0.00629563,False,3327,16476
88,867421006826221569,2017-05-24 16:44:18,This is Shikha. She just watched you drop a skittle on the ground and still eat it. Could not be less impressed. 12/10 superior puppo https://t.co/XZlZKd73go,12,10,Shikha,Puppo,Eskimo Dog,0.6164569999999999,True,Siberian Husky,0.38133,True,Malamute,0.00167022,True,2697,16755
90,866450705531457537,2017-05-22 00:28:40,"This is Jamesy. He gives a kiss to every other pupper he sees on his walk. 13/10 such passion, much tender https://t.co/wk7TfysWHr",13,10,Jamesy,Pupper,French Bulldog,0.905334,True,Boston Bull,0.0780597,True,Pug,0.00177092,True,32883,106827
132,851953902622658560,2017-04-12 00:23:33,RT @dog_rates: This is Astrid. She's a guide doggo in training. 13/10 would follow anywhere https://t.co/xo7FZFIAao,13,10,Astrid,Doggo,Staffordshire Bullterrier,0.757547,True,American Staffordshire Terrier,0.14995,True,Chesapeake Bay Retriever,0.0475227,True,10706,0
138,850019790995546112,2017-04-06 16:18:05,Say hello to Boomer. He's a sandy pupper. Having a h*ckin blast. 12/10 would pet passionately https://t.co/ecb3LvExde,12,10,Boomer,Pupper,Shetland Sheepdog,0.759907,True,Collie,0.107405,True,Pembroke,0.052335300000000015,True,5459,21944
149,846514051647705089,2017-03-28 00:07:32,This is Barney. He's an elder doggo. Hitches a ride when he gets tired. Waves goodbye before he leaves. 13/10 please come back soon https://t.co/cFAasDXauK,13,10,Barney,Doggo,Golden Retriever,0.650003,True,Leonberg,0.0651992,True,Norfolk Terrier,0.0529553,True,13076,48410
152,845397057150107648,2017-03-24 22:08:59,"Say hello to Mimosa. She's an emotional support doggo who helps her owner with PTSD. 13/10, but she needs your help

https://t.co/L6mLzrd7Mx https://t.co/jMutBFdw5o",13,10,Mimosa,Doggo,Dandie Dinmont,0.394404,True,Maltese Dog,0.186537,True,West Highland White Terrier,0.181985,True,2072,8241
153,845306882940190720,2017-03-24 16:10:40,This is Pickles. She's a silly pupper. Thinks she's a dish. 12/10 would dry https://t.co/7mPCF4ZwEk,12,10,Pickles,Pupper,Irish Water Spaniel,0.567475,True,Labrador Retriever,0.169496,True,Curly-Coated Retriever,0.101518,True,6039,25225
183,837110210464448512,2017-03-02 01:20:01,This is Clark. He passed pupper training today. Round of appaws for Clark. 13/10 https://t.co/7pUjwe8X6B,13,10,Clark,Pupper,Siberian Husky,0.767696,True,Eskimo Dog,0.217079,True,Malamute,0.0116568,True,2731,17480
185,836753516572119041,2017-03-01 01:42:39,This is Meera. She just heard about taxes and how much a doghouse in a nice area costs. Not pupared to be a  doggo anymore. 12/10 https://t.co/GZmNEdyoJY,12,10,Meera,Doggo,Mortarboard,0.936882,False,Academic Gown,0.0208154,False,Schipperke,0.0115635,True,5237,21029
187,836380477523124226,2017-02-28 01:00:19,"This is Ava. She just blasted off. Streamline af. Aerodynamic as h*ck. One small step for pupper, one giant leap for pupkind. 12/10 https://t.co/W4KffrdX3Q",12,10,Ava,Pupper,Wooden Spoon,0.08248860000000001,False,Sliding Door,0.0610165,False,Grand Piano,0.0550861,False,3337,16037
202,833124694597443584,2017-02-19 01:23:00,This is Gidget. She's a spy pupper. Stealthy as h*ck. Must've slipped pup and got caught. 12/10 would forgive then pet https://t.co/zD97KYFaFa,12,10,Gidget,Pupper,Cardigan,0.7105229999999999,True,Kelpie,0.106102,True,Shopping Cart,0.0554755,False,5513,22133
203,832998151111966721,2017-02-18 17:00:10,"This is Rhino. He arrived at a shelter with an elaborate doggo manual for his new family, written by someone who will always love him. 13/10 https://t.co/QX1h0oqMz0",13,10,Rhino,Doggo,Boxer,0.539036,True,French Bulldog,0.317617,True,Bull Mastiff,0.0939285,True,2522,14549
208,832273440279240704,2017-02-16 17:00:25,Say hello to Smiley. He's a blind therapy doggo having a h*ckin blast high steppin around in the snow. 14/10 would follow anywhere https://t.co/SHAb1wHjMz,14,10,Smiley,Doggo,Pembroke,0.134081,True,Ice Bear,0.0519278,False,Pug,0.0443109,True,2673,12385
211,832032802820481025,2017-02-16 01:04:13,"This is Miguel. He was the only remaining doggo at the adoption center after the weekend. Let's change that. 12/10

https://t.co/P0bO8mCQwN https://t.co/SU4K34NT4M",12,10,Miguel,Doggo,Whippet,0.601712,True,Ibizan Hound,0.152662,True,Italian Greyhound,0.135055,True,4746,13887
212,831939777352105988,2017-02-15 18:54:34,This is Emanuel. He's a h*ckin rare doggo. Dwells in a semi-urban environment. Round features make him extra collectible. 12/10 would so pet https://t.co/k9bzgyVdUT,12,10,Emanuel,Doggo,Pomeranian,0.153862,True,Marmot,0.0912339,False,Grey Fox,0.0906441,False,7031,26404
216,831322785565769729,2017-02-14 02:02:51,This is Pete. He has no eyes. Needs a guide doggo. Also appears to be considerably fluffy af. 12/10 would hug softly https://t.co/Xc0gyovCtK,12,10,Pete,Doggo,Old English Sheepdog,0.999715,True,Tibetan Terrier,4.62967e-05,True,Guinea Pig,4.118430000000001e-05,False,1744,10042
222,829878982036299777,2017-02-10 02:25:42,RT @dog_rates: This is Loki. He smiles like Elvis. Ain't nothin but a hound doggo. 12/10 https://t.co/QV5nx6otZR,12,10,Loki,Doggo,Golden Retriever,0.6173890000000001,True,Labrador Retriever,0.33705300000000005,True,Tennis Ball,0.00855442,False,5757,0
225,829374341691346946,2017-02-08 17:00:26,This is Astrid. She's a guide doggo in training. 13/10 would follow anywhere https://t.co/xo7FZFIAao,13,10,Astrid,Doggo,Staffordshire Bullterrier,0.757547,True,American Staffordshire Terrier,0.14995,True,Chesapeake Bay Retriever,0.0475227,True,10706,38074
233,828381636999917570,2017-02-05 23:15:47,Meet Doobert. He's a deaf doggo. Didn't stop him on the field tho. Absolute legend today. 14/10 would pat head approvingly https://t.co/iCk7zstRA9,14,10,Doobert,Doggo,Bedlington Terrier,0.392535,True,Labrador Retriever,0.0890217,True,Clumber,0.0817998,True,2554,13864
238,827933404142436356,2017-02-04 17:34:40,This is Kona. Yesterday she stopped by the department to see what it takes to be a police pupper. 12/10 vest was only a smidge too big https://t.co/j8D3PQJvpJ,12,10,Kona,Pupper,German Shepherd,0.8061149999999999,True,Tibetan Mastiff,0.104831,True,Kelpie,0.0381482,True,5987,22180
243,826958653328592898,2017-02-02 01:01:21,This is Loki. He smiles like Elvis. Ain't nothin but a hound doggo. 12/10 https://t.co/QV5nx6otZR,12,10,Loki,Doggo,Golden Retriever,0.6173890000000001,True,Labrador Retriever,0.33705300000000005,True,Tennis Ball,0.00855442,False,5757,23767
244,826848821049180160,2017-02-01 17:44:55,This is Cupid. He was found in the trash. Now he's well on his way to prosthetic front legs and a long happy doggo life. 13/10 heroic af https://t.co/WS0Gha8vRh,13,10,Cupid,Doggo,Great Pyrenees,0.858764,True,Golden Retriever,0.0235257,True,Pekinese,0.017103900000000002,True,11878,40325
246,826476773533745153,2017-01-31 17:06:32,This is Pilot. He has mastered the synchronized head tilt and sneaky tongue slip. Usually not unlocked until later doggo days. 12/10 https://t.co/YIV8sw8xkh,12,10,Pilot,Doggo,German Shepherd,0.7418600000000001,True,Tibetan Mastiff,0.122812,True,Kelpie,0.10046,True,4821,20275
251,825026590719483904,2017-01-27 17:04:02,"Say hello to Pablo. He's one gorgeous puppo. A true 12/10. Click the link to see why Pablo requests your assistance

https://t.co/koHvVQp9bL https://t.co/IhW0JKf7kc",12,10,Pablo,Puppo,Eskimo Dog,0.524454,True,Siberian Husky,0.467678,True,Malamute,0.00497584,True,1483,7020
264,822462944365645825,2017-01-20 15:17:01,"This is Gabe. He was the unequivocal embodiment of a dream meme, but also one h*ck of a pupper. You will be missed by so many. 14/10 RIP https://t.co/M3hZGadUuO",14,10,Gabe,Pupper,Pomeranian,0.960199,True,Samoyed,0.0230563,True,Maltese Dog,0.00894488,True,17209,31800
267,821765923262631936,2017-01-18 17:07:18,This is Duchess. She uses dark doggo forces to levitate her toys. 13/10 magical af https://t.co/maDNMETA52,13,10,Duchess,Doggo,Golden Retriever,0.980071,True,Labrador Retriever,0.00875751,True,Saluki,0.00180595,True,1899,9317
269,821407182352777218,2017-01-17 17:21:47,This is Sundance. He's a doggo drummer. Even sings a bit on the side. 14/10 entertained af (vid by @sweetsundance) https://t.co/Xn5AQtiqzG,14,10,Sundance,Doggo,Irish Setter,0.5054960000000001,True,Vizsla,0.168747,True,Chesapeake Bay Retriever,0.111311,True,5053,13075
274,819952236453363712,2017-01-13 17:00:21,"This is Oliver. He has dreams of being a service puppo so he can help his owner. 13/10 selfless af

make it happen:
https://t.co/f5WMsx0a9K https://t.co/6lJz0DKZIb",13,10,Oliver,Puppo,American Staffordshire Terrier,0.925505,True,Staffordshire Bullterrier,0.0362215,True,Italian Greyhound,0.020411900000000004,True,1369,5927
279,819015337530290176,2017-01-11 02:57:27,RT @dog_rates: This is Bo. He was a very good First Doggo. 14/10 would be an absolute honor to pet https://t.co/AdPKrI8BZ1,14,10,Bo,Doggo,Standard Poodle,0.351308,True,Toy Poodle,0.271929,True,Tibetan Terrier,0.0947592,True,42228,0
280,819015331746349057,2017-01-11 02:57:26,RT @dog_rates: This is Sunny. She was also a very good First Doggo. 14/10 would also be an absolute honor to pet https://t.co/YOC1fHFCSb,14,10,Sunny,Doggo,Prison,0.907083,False,Palace,0.0200891,False,Umbrella,0.00784954,False,21794,0
281,819006400881917954,2017-01-11 02:21:57,This is Sunny. She was also a very good First Doggo. 14/10 would also be an absolute honor to pet https://t.co/YOC1fHFCSb,14,10,Sunny,Doggo,Prison,0.907083,False,Palace,0.0200891,False,Umbrella,0.00784954,False,21794,49960
282,819004803107983360,2017-01-11 02:15:36,This is Bo. He was a very good First Doggo. 14/10 would be an absolute honor to pet https://t.co/AdPKrI8BZ1,14,10,Bo,Doggo,Standard Poodle,0.351308,True,Toy Poodle,0.271929,True,Tibetan Terrier,0.0947592,True,42228,95450
285,818588835076603904,2017-01-09 22:42:41,RT @dog_rates: This is Chelsea. She forgot how to dog. 11/10 get it together pupper https://t.co/nBJ5RE4yHb,11,10,Chelsea,Pupper,Norwegian Elkhound,0.372202,True,Chesapeake Bay Retriever,0.13718699999999998,True,Malamute,0.07143619999999999,True,7126,0
290,817777686764523521,2017-01-07 16:59:28,"This is Dido. She's playing the lead role in ""Pupper Stops to Catch Snow Before Resuming Shadow Box with Dried Apple."" 13/10 (IG: didodoggo) https://t.co/m7isZrOBX7",13,10,Dido,DoggoPupper,Curly-Coated Retriever,0.733256,True,Flat-Coated Retriever,0.214145,True,Irish Water Spaniel,0.029769,True,3084,11901
296,816829038950027264,2017-01-05 02:09:53,RT @dog_rates: This is Betty. She's assisting with the dishes. Such a good puppo. 12/10 h*ckin helpful af https://t.co/dgvTPZ9tgI,12,10,Betty,Puppo,Dishwasher,0.700466,False,Golden Retriever,0.245773,True,Chow,0.0390117,True,5496,0
306,814986499976527872,2016-12-31 00:08:17,This is Cooper. Someone attacked him with a sharpie. Poor pupper. 11/10 nifty tongue slip tho https://t.co/01vpuRDXQ8,11,10,Cooper,Pupper,Dalmatian,0.999828,True,Boxer,6.78061e-05,True,American Staffordshire Terrier,3.42436e-05,True,1505,8485
311,813910438903693312,2016-12-28 00:52:25,This is Chubbs. He dug a hole and now he's stuck in it. Dang h*ckin doggo. 11/10 would assist https://t.co/z1VRj1cYZf,11,10,Chubbs,Doggo,Siberian Husky,0.6993550000000001,True,Eskimo Dog,0.256433,True,Norwegian Elkhound,0.0131888,True,2194,10342
318,813096984823349248,2016-12-25 19:00:02,This is Rocky. He got triple-doggo-dared. Stuck af. 11/10 someone help him https://t.co/soNL00XWVu,11,10,Rocky,Doggo,Great Dane,0.128056,True,Boston Bull,0.117003,True,Kelpie,0.08696430000000001,True,4207,11694
329,811386762094317568,2016-12-21 01:44:13,This is Craig. That's actually a normal sized fence he's stuck on. H*ckin massive pupper. 11/10 someone help him https://t.co/aAUXzoxaBy,11,10,Craig,Pupper,Pembroke,0.804177,True,Cardigan,0.18989,True,Beagle,0.00196475,True,7444,23302
342,807621403335917568,2016-12-10 16:22:02,This is Ollie Vue. He was a 3 legged pupper on a mission to overcome everything. This is very hard to write. 14/10 we will miss you Ollie https://t.co/qTRY2qX9y4,14,10,Ollie,Pupper,Golden Retriever,0.873233,True,Cocker Spaniel,0.0336933,True,Chow,0.0204084,True,4288,16236
358,803773340896923648,2016-11-30 01:31:12,This is Diogi. He fell in the pool as soon as he was brought home. Clumsy puppo. 12/10 would pet until dry https://t.co/ZxeRjMKaWt,12,10,Diogi,Puppo,Miniature Pinscher,0.817066,True,Redbone,0.0597065,True,Irish Terrier,0.0341952,True,3220,11203
364,802239329049477120,2016-11-25 19:55:35,This is Loki. He'll do your taxes for you. Can also make room in your budget for all the things you bought today. 12/10 what a puppo https://t.co/5oWrHCWg87,12,10,Loki,Puppo,Eskimo Dog,0.482498,True,Siberian Husky,0.335774,True,Malamute,0.134589,True,3040,10132
368,801115127852503040,2016-11-22 17:28:25,This is Bones. He's being haunted by another doggo of roughly the same size. 12/10 deep breaths pupper everything's fine https://t.co/55Dqe0SJNj,12,10,Bones,DoggoPupper,Dalmatian,0.823356,True,English Setter,0.0946019,True,Bluetick,0.0219534,True,2429,8992
371,800443802682937345,2016-11-20 21:00:48,RT @dog_rates: This is Sampson. He's about to get hit with a vicious draw 2. Has no idea. 11/10 poor pupper https://t.co/FYT9QBEnKG,11,10,Sampson,Pupper,Mousetrap,0.777468,False,Black Widow,0.0939402,False,Paddlewheel,0.0174919,False,5068,0
372,800388270626521089,2016-11-20 17:20:08,This is Doc. He takes time out of every day to worship our plant overlords. 12/10 quite the floofer https://t.co/azMneS6Ly5,12,10,Doc,Floofer,Golden Retriever,0.35986,True,Pembroke,0.194207,True,Collie,0.154603,True,3265,12456
375,799757965289017345,2016-11-18 23:35:32,This is Sobe. She's a h*ckin happy doggo. Only one leg tho. Must have good balance. 13/10 would smile back https://t.co/OiH8PaOxB1,13,10,Sobe,Doggo,Border Collie,0.442534,True,Collie,0.288684,True,Shetland Sheepdog,0.196399,True,2506,9390
401,794205286408003585,2016-11-03 15:51:10,This is Laika. She was a space pupper. The first space pupper actually. Orbited earth like a h*ckin boss. 14/10 hero af https://t.co/trSjgY3h4g,14,10,Laika,Pupper,Pedestal,0.66266,False,Fountain,0.294827,False,Brass,0.0203711,False,3895,10314
